Checkin,Checkout,Nome,Prezzo,Punteggio
2025-10-20,2025-10-21,Hotel Vergilius Billia,€ 104,"7,5"
2025-10-20,2025-10-21,Hotel Sant'Angelo Palace,€ 168,"7,8"
2025-10-20,2025-10-21,Hotel Suite Ares,€ 96,"7,9"
2025-10-20,2025-10-21,Capodichino International Hotel,€ 133,"6,9"
2025-10-20,2025-10-21,Hotel Nunù,€ 158,"8,3"
2025-10-20,2025-10-21,Le Cheminée Business Hotel Napoli,€ 109,"8,2"
2025-10-20,2025-10-21,Boutique Hotel Metro 900,€ 201,"8,5"
2025-10-20,2025-10-21,Tiffany & Babylon Luxury Stay,€ 119,"8,0"
2025-10-20,2025-10-21,Sweet Sleep Studios,€ 114,"8,3"
2025-10-20,2025-10-21,Smart Hotel Napoli,€ 174,"8,5"
2025-10-20,2025-10-21,Caruso Place Luxury Rooms & Suites,€ 245,"8,1"
2025-10-20,2025-10-21,Hotel San Paolo,€ 80,"7,8"
2025-10-20,2025-10-21,Hotel Nuvò,€ 93,"8,6"
2025-10-20,2025-10-21,Villa Elisio Hotel & Spa,€ 213,"8,2"
2025-10-20,2025-10-21,Best Western Plus Hotel Plaza,€ 210,"8,1"
2025-10-20,2025-10-21,Palazzo Esedra,€ 164,"8,4"
2025-10-20,2025-10-21,Culture Hotel Centro Storico,€ 163,"8,3"
2025-10-20,2025-10-21,Ramada by Wyndham Naples,€ 242,"7,7"
2025-10-20,2025-10-21,Soul Art Hotel,€ 142,"8,7"
2025-10-20,2025-10-21,Grand Hotel Capodimonte,€ 152,"6,9"
2025-10-20,2025-10-21,Best Western JFK Hotel,€ 97,"8,3"
2025-10-20,2025-10-21,Hotel des Artistes,€ 144,"7,4"
2025-10-20,2025-10-21,Residence e Appartamenti Ascensione,€ 89,"8,1"
2025-10-20,2025-10-21,Palazzo Turchini,€ 180,"8,3"
2025-10-20,2025-10-21,Sant'Angelo Suites,€ 127,"7,9"
2025-10-21,2025-10-22,Relais Della Porta,€ 367,"9,1"
2025-10-21,2025-10-22,Hotel Royal Continental,€ 363,"8,4"
2025-10-21,2025-10-22,Boutique Hotel Metro 900,€ 241,"8,5"
2025-10-21,2025-10-22,Caruso Place Luxury Rooms & Suites,€ 244,"8,1"
2025-10-21,2025-10-22,Villa Elisio Hotel & Spa,€ 214,"8,2"
2025-10-21,2025-10-22,Hotel San Paolo,€ 87,"7,8"
2025-10-21,2025-10-22,Palazzo Esedra,€ 165,"8,4"
2025-10-21,2025-10-22,Exe Majestic,€ 334,"8,3"
2025-10-21,2025-10-22,Hotel Vergilius Billia,€ 137,"7,5"
2025-10-21,2025-10-22,Plebiscito Suite Apartment,€ 136,"9,5"
2025-10-21,2025-10-22,NH Napoli Panorama,€ 298,"8,2"
2025-10-21,2025-10-22,Acate81 Lifestyle Apartment,€ 111,"9,2"
2025-10-21,2025-10-22,Capodichino International Hotel,€ 108,"6,9"
2025-10-21,2025-10-22,Hotel Suite Ares,€ 186,"7,9"
2025-10-21,2025-10-22,Ramada by Wyndham Naples,€ 242,"7,7"
2025-10-21,2025-10-22,Holiday Inn Naples by IHG,€ 244,"7,8"
2025-10-21,2025-10-22,Hotel des Artistes,€ 140,"7,4"
2025-10-21,2025-10-22,Smart Hotel Napoli,€ 132,"8,5"
2025-10-21,2025-10-22,Palazzo Alabardieri,€ 232,"9,0"
2025-10-21,2025-10-22,Culture Hotel Centro Storico,€ 159,"8,3"
2025-10-21,2025-10-22,Gold Tower Lifestyle Hotel,€ 182,"9,0"
2025-10-21,2025-10-22,Eurostars Hotel Excelsior,€ 639,"8,8"
2025-10-21,2025-10-22,NapoliMia Boutique Hotel,€ 307,"9,0"
2025-10-21,2025-10-22,Palazzo Salgar,€ 178,"8,3"
2025-10-21,2025-10-22,Prêtáloger Verdi 18,€ 179,"9,3"
2025-10-22,2025-10-23,Hotel Royal Continental,€ 234,"8,4"
2025-10-22,2025-10-23,Relais Della Porta,€ 222,"9,1"
2025-10-22,2025-10-23,Boutique Hotel Metro 900,€ 241,"8,5"
2025-10-22,2025-10-23,Caruso Place Luxury Rooms & Suites,€ 237,"8,1"
2025-10-22,2025-10-23,Villa Elisio Hotel & Spa,€ 215,"8,2"
2025-10-22,2025-10-23,Hotel San Paolo,€ 81,"7,8"
2025-10-22,2025-10-23,Palazzo Esedra,€ 131,"8,4"
2025-10-22,2025-10-23,Hotel Vergilius Billia,€ 162,"7,5"
2025-10-22,2025-10-23,NH Napoli Panorama,€ 340,"8,2"
2025-10-22,2025-10-23,Capodichino International Hotel,€ 126,"6,9"
2025-10-22,2025-10-23,Hotel Suite Ares,€ 131,"7,9"
2025-10-22,2025-10-23,Ramada by Wyndham Naples,€ 201,"7,7"
2025-10-22,2025-10-23,Best Western Plus Hotel Plaza,€ 208,"8,1"
2025-10-22,2025-10-23,Smart Hotel Napoli,€ 186,"8,5"
